,Topics,Authors,Date,Description
116,"U.S. NAVY OFFICER ATTITUDES ON THE REPEAL OF ""DON'T ASK, DON'T TELL"" 
","Appleman, Ryan P.; McLaughlin, Peter S.",2013-03,"""Don't Ask, Don't Tell"" (DADT) prohibited gays from serving openly in the military from December 1993 to September 2011. In February 1994, a survey of Navy officers was administered at the Naval Postgraduate School exploring ..."
117,"Ball obturation of a spin stabilized tubular projectile. 
","Bloomer, James Wayne",1980,no description
118,"Social responsibility as a management control system 
","Barger, Anthony A.; Zabicki, William B.",2004-06,"In this thesis, we examine how businesses with social responsibility as part of their core strategy use related management control systems within Harvard Business School Professor Robert Simons' business strategy control ..."
119,"Analysis of combustion and heat transfer in a porous graphite medium. 
","Vatikiotis, Costa Sozon",1980,no description
120,"Update of the Navy Contract Writing Guide Phase II 
","Espino, Joseph C.; Hunter, Chong",2004-06,The purpose of this MBA Project is to provide a comprehensive update of the Navy Contract Writing Guide. The project was conducted with the sponsorship and assistance of the Office of the Assistant Secretary of the Navy ...
121,"Truth in Negotiations Act: getting the incentives right 
","Champion, Crystal; Ellen, Meredith; Walk, Jenny",2014-12,The Truth In Negotiations Act (TINA) is a contracting statute that has been put into place in order to protect the Department of Defense’s funds by mandating that contractors provide certified cost or pricing data. When ...
122,"Personal discount rates and retirement decisions: evidence from the U.S. military 
","Francavilla, Lucas A.",2013-06,"Upon reaching 15 years of service (YOS), service members must choose between the High-3 year average retirement plan and the REDUX retirement plan. This research analyzed retirement decisions of 89,884 retired U.S. military ..."
123,"Cost-based analysis of unmanned aerial vehicles/unmanned aerial systems in filling the role of logistical support 
","Denevan, Thomas J.",2014-12,"This thesis conducts a comparative cost analysis for using unmanned aerial vehicles (UAVs)/unmanned aerial systems (UASs) for logistical resupply purposes as opposed to the traditional logistical resupply resources. First, ..."
124,"The effect of zoning laws on housing prices and BAH rates 
","Fitzkee, William",2014-12,This thesis is an analysis of the effect of zoning laws and regulations on the price of residential housing. Economists Edward Glaeser and Joseph Gyourko have completed significant work on this topic. Their efforts have ...
125,"Improving utility in the Marine Corps depot level maintenance program 
","Akers, Darrell L.; Akers, Michelle E.; Broderick, Brian J.",2004-12,The Marine Corps operates a Depot Level Maintenance Program (DLMP) to support the continued operation of principal end items. Principal end items require periodic induction into the DLMP. This maintenance consists of major ...
126,"Active RC network synthesis with operational amplifier. 
","Yuksel, Erol",1970,no description
127,"Vibration of ship hulls due to wave excitation. 
","Smith, Scott T.",1979,no description
128,"Electrochemical state models of lead-acid batteries. 
","Pfister, Russel J.",1979,no description
129,"Defining self-sufficiency in the United States Marine Corps 
","Brindel, Joshua A.; Fowler, David A.; Meche, Corey J.",2013-12,"The purpose of this project is to define self-sufficiency as it relates to the Marine Corps, identify the primary elements of self-sufficiency, and describe the interrelationships among these elements. Upon reviewing ..."
130,"Transverse oscillations of smooth and rough cylinders in harmonic flow. 
","Ozkaynak, Suleyman",1979,no description
131,"Design of a shipboard pollution control system. 
","Maxham, John Charles.",1971,no description
132,"The analysis and design of a ship-cradle decoupling scheme for deep submersible recovery at sea. 
","Dow, Larry A.",1973,no description
133,"Organizational analysis of energy manpower requirements in the United States navy 
","Devorak, Nicholas A.",2013-06,The Secretary of the Navy (SECNAV) directed NPS to establish energy-focused subspecialty codes (SSC) that will prepare officers to manage all aspects of energy. In response to this SECNAV directive NPS has developed four ...
134,"Improving citizen preparedness through employee disaster preparedness promotion in the workplace 
","Ettrich, Kevin D.",2014-09,"Citizen preparedness is a vital component of national preparedness, yet national surveys indicate only a small minority of citizens have completed basic individual and household preparedness actions. Workplace wellness ..."
135,"DOES HOMELAND SECURITY CONSTITUTE AN EMERGING ACADEMIC DISCIPLINE? 
","Falkow, Michael D.",2013-03,"In the wake of 9/11, the enterprise now called homeland security rocketed into the limelight leaving an educational gap that many academic institutions rushed in to fill. Educators and scholars alike from various disciplines ..."
136,"Modeling interaction of a tropical cyclone with its cold wake 
","Chen, Sue",2014-09,This dissertation examines the tropical cyclone (TC) intensity response to its cold wake first with five idealized cold wakes using an uncoupled version of the Coupled Ocean/Atmosphere Mesoscale Modeling System for Tropical ...
137,"Medicare & Medicaid vs. TRICARE: a benefits and cost comparison 
","Engels, Colin",2014-09,The current fiscal environment for the Department of Defense (DOD) is constrained. TRICARE and the military health system are an area where DOD military leaders have expressed serious concern over the balance between rising ...
138,"The cold gas-dynamic spray and characterization of microcrystalline and nanocrystalline copper alloys 
","Marple, William J.",2012-12,This thesis presents research on the cold gas-dynamic spray processa relatively new technology that may be utilized to create metal coatings in the solid state. While the thermodynamics and fluid mechanics of the cold ...
